City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Koumac,NC,-20.5667,164.2833,81.46,77,100,9.53,overcast clouds
196,Iqaluit,CA,63.7506,-68.5145,-14.31,86,100,11.95,overcast clouds
197,Kirkwood,US,38.5834,-90.4068,23.58,94,13,3.13,few clouds
198,Idar,DE,49.7167,7.3,30.27,88,6,7.05,clear sky
199,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.75,92,70,11.63,broken clouds
200,Codrington,AU,-38.2667,141.9667,67.19,82,100,14.54,light rain
201,Mackay,AU,-21.15,149.2,82.99,72,6,7.52,clear sky
202,Voskresenskoye,RU,56.8381,45.4317,30.36,94,100,7.76,overcast clouds
203,Deniliquin,AU,-35.5333,144.9667,85.98,34,90,5.14,overcast clouds
204,Funadhoo,MV,6.15,73.2667,82.78,72,74,14.25,broken clouds
205,Betanzos,ES,43.2804,-8.2147,50.65,81,75,3.44,broken clouds
206,Fuling,CN,29.7022,107.3919,59.74,57,97,3.6,overcast clouds
207,Nalut,LY,30.3333,10.85,54.9,26,35,3.74,scattered clouds
208,Souillac,MU,-20.5167,57.5167,81.52,73,88,7.34,light rain
209,Yar-Sale,RU,66.8333,70.8333,25.45,95,100,18.23,light snow
210,Eresos,GR,39.1667,25.9333,49.93,71,68,11.36,broken clouds
211,Berlevag,NO,70.8578,29.0864,37.58,96,100,29.17,overcast clouds
212,Lososina,RU,48.9975,140.3106,21.83,64,25,13.73,scattered clouds
213,Vangaindrano,MG,-23.35,47.6,78.44,85,90,8.43,overcast clouds
214,Buraydah,SA,26.326,43.975,60.42,35,1,9.95,clear sky
215,Aksu,CN,41.1231,80.2644,46.13,31,100,2.04,overcast clouds
216,Bredasdorp,ZA,-34.5322,20.0403,72.28,80,48,12.41,scattered clouds
217,Nome,US,64.5011,-165.4064,27.66,95,98,15.46,overcast clouds
218,Fort Walton Beach,US,30.4058,-86.6188,60.1,85,75,4.61,broken clouds
219,Port Keats,AU,-14.25,129.55,82.63,80,95,12.48,overcast clouds
220,Port Augusta,AU,-32.5,137.7667,85.5,36,99,20.33,overcast clouds
221,Panguna,PG,-6.3164,155.4848,70.5,98,94,4.63,moderate rain
222,Khasan,RU,42.4308,130.6434,40.24,40,24,12.73,few clouds
223,Voyvozh,RU,62.892,54.9635,26.31,95,99,7.05,overcast clouds
